Accidente colective de munca pe activitati economice CAEN Rev.1,ACC101A
"AMIGO - Populatia inactiva de 15 ani si peste dupa nivelul de educatie, pe grupe de varsta si medii de rezidenta",AMG146F
AMIGO - Persoane descurajate in a mai gasi un loc de munca pe grupe de varsta si sexe,AMG152A
AMIGO - Persoane descurajate in a mai gasi un loc de munca pe grupe de varsta si medii de rezidenta,AMG152B
AMIGO - Rata de activitate pe grupe de varsta si sexe,AMG155A
AMIGO - Rata de activitate pe grupe de varsta si medii de rezidenta,AMG155B
AMIGO - Rata de activitate pe grupe de varsta si sexe,AMG155C
AMIGO - Rata de activitate pe grupe de varsta si medii de rezidenta,AMG155D
"AMIGO - Rata de activitate pe grupe de varsta, medii de rezidenta, macroregiuni si regiuni de dezvoltare",AMG155E
"AMIGO - Rata de activitate pe grupe de varsta, sexe, macroregiuni si regiuni de dezvoltare",AMG155F
AMIGO - Rata de ocupare pe grupe de varsta si sexe,AMG156A
AMIGO - Rata de ocupare pe grupe de varsta  si medii de rezidenta,AMG156B
AMIGO - Rata de ocupare pe grupe de varsta si sexe,AMG156C
AMIGO - Rata de ocupare pe grupe de varsta si medii de rezidenta,AMG156D
"AMIGO - Rata de ocupare pe grupe de varsta, medii de rezidenta, macroregiuni si regiuni de dezvoltare",AMG156E
"AMIGO - Rata de ocupare pe grupe de varsta, sexe, macroregiuni si regiuni de dezvoltare",AMG156F
AMIGO - Rata somajului BIM pe grupe de varsta si sexe,AMG157A
AMIGO - Rata somajului BIM pe grupe de varsta si medii de rezidenta,AMG157B
AMIGO - Rata somajului BIM pe grupe de varsta si sexe,AMG157C
AMIGO - Rata somajului BIM pe grupe de varsta si medii de rezidenta,AMG157D
"AMIGO - Rata somajului BIM pe grupe de varsta, medii de rezidenta, macroregiuni si regiuni de dezvoltare",AMG157E
"AMIGO - Rata somajului BIM pe grupe de varsta, sexe, macroregiuni si regiuni de dezvoltare",AMG157F
"AMIGO - Rata somajului BIM - date cu frecventa lunara, serie bruta, pe grupe de varsta si sexe",AMG157G
"AMIGO - Rata somajului BIM - date cu frecventa lunara, serie ajustata sezonier, pe grupe de varsta si sexe",AMG157H
"AMIGO - Rata somajului BIM - date cu frecventa lunara, trend, pe grupe de varsta si sexe",AMG157I
AMIGO-Rata de ocupare pe grupe de varsta si sexe (date comparabile),AMG158A
AMIGO-Rata de ocupare pe grupe de varsta si medii de rezidenta (date comparabile),AMG158B
AMIGO-Rata somajului BIM pe grupe de varsta si sexe (date comparabile),AMG159A
AMIGO-Rata somajului BIM pe grupe de varsta si medii de rezidenta (date comparabile),AMG159B
"Biblioteci pe categorii de biblioteci, judete si localitati",ART101B
"Biblioteci pe categorii de biblioteci, macroregiuni, regiuni de dezvoltare si judete",ART101C
Cinematografe pe categorii de cinematografe,ART102A
"Cinematografe pe categorii de cinematografe, macroregiuni, regiuni de dezvoltare si judete",ART102B
Cinematografe pe categorii de cinematografe si sediul filialelor judetelor,ART102D
Institutii si companii de spectacole sau concerte pe judete si localitati,ART103B
"Institutii si companii de spectacole sau concerte pe categorii de institutii, macroregiuni, regiuni de dezvoltare si judete",ART103C
"Institutii si companii de spectacole sau concerte dupa felul institutiilor si companiilor de spectacole sau concerte,pe judete si localitati",ART103D
"Institutii si companii de spectacole sau concerte pe categorii de institutii, dupa felul institutiilor si companiilor de spectacole sau concerte, pe macroregiuni, regiuni de dezvoltare si judete",ART103E
Muzee si colectii publice pe judete si localitati,ART104A
"Muzee si colectii publice pe macroregiuni, regiuni de dezvoltare si judete",ART104B
"Muzee si colectii publice dupa felul muzeului/colectiei publice,  pe judete si localitati",ART104C
"Muzee si colectii publice dupa felul muzeului/colectiei publice pe macroregiuni, regiuni de dezvoltare si judete",ART104D
"Locuri in salile de cinematograf pe macroregiuni, regiuni de dezvoltare si judete",ART105A
Locuri in salile de cinematograf dupa sediul filialelor judetelor,ART105B
Volume existente in biblioteci pe judete si localitati,ART106A
"Volume existente in biblioteci pe categorii de biblioteci, macroregiuni, regiuni de dezvoltare si judete",ART106B
Cititori activi la biblioteci pe judete si localitati,ART107A
"Cititori activi la biblioteci pe categorii de biblioteci, macroregiuni, regiuni de dezvoltare si judete",ART107B
Volume eliberate pe judete si localitati,ART108A
"Volume eliberate pe categorii de biblioteci, macroregiuni, regiuni de dezvoltare si judete",ART108B
Spectacole cinematografice pe categorii de cinematografe,ART109A
"Spectacole cinematografice pe categorii de cinematografe, macroregiuni, regiuni de dezvoltare si judete",ART109B
"Spectacole cinematografice pe categorii de cinematografe, dupa filialele judetelor",ART109C
Spectatori la cinematografe pe categorii de cinematografe,ART110A
"Spectatori la cinematografe pe categorii de cinematografe, macroregiuni, regiuni de dezvoltare si judete",ART110B
"Spectatori la cinematografe pe categorii de cinematografe, dupa sediul filialelor judetelor",ART110C
