Accidente colective de munca pe activitati economice CAEN Rev.1,ACC101A
"Ponderea gospodariilor care au acces la Internet acasa, pe nivelul de educatie al capului  gospodariei, in total gospodarii din fiecare nivel de educatie",TIC102B
" Ponderea gospodariilor care au acces la Internet acasa, pe grupa de varsta a capului gospodariei, in total gospodarii din fiecare grupa de varsta",TIC102C
"Ponderea gospodariilor care au acces la Internet acasa, pe medii de rezidenta, in total gospodarii din fiecare mediu de rezidenta",TIC102D
"Ponderea gospodariilor care au acces la Internet acasa, dupa statutul ocupational al capului gospodariei, pe modalitati de acces, in total gospodarii cu acces la Internet acasa din fiecare statut ocupational",TIC103A
"Ponderea gospodariilor care au acces la Internet acasa, dupa mediul de rezidenta, pe modalitati de acces, in total gospodarii cu acces la Internet acasa din fiecare mediu de rezidenta",TIC103B
"Ponderea gospodariilor care au acces la Internet acasa, dupa statutul ocupational al capului gospodariei, pe tipurile de conexiune folosite, in total gospodarii cu acces la Internet acasa din fiecare statut ocupational",TIC104A
"Ponderea gospodariilor care au acces la Internet acasa, dupa mediul de rezidenta, pe tipurile de conexiune folosite, in total gospodarii cu acces la internet acasa din fiecare mediu de rezidenta",TIC104B
"Persoane de 16-74 ani care au folosit vreodata computerul,  pe statute ocupationale",TIC105A
"Persoanele de 16-74 ani care au folosit vreodata computerul, pe niveluri de educatie",TIC105B
"Persoane de 16-74 ani, care au folosit vreodata computerul, pe sexe",TIC105C
"Persoane de 16-74 ani care au folosit vreodata computerul, pe grupe de varsta",TIC105D
"Persoane de 16-74 ani care au folosit vreodata computerul, pe medii de rezidenta",TIC105E
" Structura persoanelor de 16-74 ani care au folosit computerul in ultimele 3 luni, dupa statutul ocupational, pe frecventa folosirii acestuia",TIC106A
"Structura persoanelor de 16-74 ani care au folosit computerul in ultimele 3 luni, dupa nivelul de educatie, pe frecventa folosirii acestuia",TIC106B
"Structura persoanelor de 16-74 ani care au folosit computerul in ultimele 3 luni, pe sexe, pe frecventa folosirii acestuia",TIC106C
"Structura persoanelor de 16-74 ani,  care au folosit computerul in ultimele 3 luni, dupa grupa de varsta, pe frecventa folosirii acestuia",TIC106D
"Structura persoanelor de 16-74 ani care au folosit computerul in ultimele 3 luni, dupa mediul de rezidenta, pe frecventa folosirii acestuia",TIC106E
"Ponderea persoanelor de 16-74 ani care au folosit computerul in ultimele 3 luni, dupa statutul ocupational, pe locul folosirii acestuia, in total persoane din fiecare statut ocupational",TIC107A
"Ponderea persoanelor de 16-74 ani care au folosit computerul in ultimele 3 luni, dupa nivelul de educatie, pe locul folosirii acestuia, in total persoane din fiecare nivel de educatie",TIC107B
"Ponderea persoanelor de 16-74 ani care au folosit computerul in ultimele 3 luni, dupa sexe, pe locul folosirii acestuia, in total persoane din fiecare sex",TIC107C
"Ponderea persoanelor de 16-74 ani care au folosit computerul in ultimele 3 luni, dupa mediul de rezidenta, pe locul folosirii acestuia, in total persoane din fiecare mediu de rezidenta",TIC107D
"Persoane de 16-74 ani care au accesat vreodata Internetul, pe statute ocupationale",TIC108A
"Persoane de 16-74 ani care au accesat vreodata Internetul, pe niveluri de educatie",TIC108B
"Persoane de 16-74 ani,care au accesat vreodata Internetul, pe sexe",TIC108C
"Persoane de 16-74 ani, care au accesat vreodata Internetul, pe grupe de varsta ",TIC108D
"Persoane de 16-74 ani, care au accesat vreodata Internetul, pe medii de rezidenta",TIC108E
"Structura persoanelor de 16-74 ani care au utilizat Internetul in ultimele 3 luni, dupa statutul ocupational, pe frecventa folosirii acestuia",TIC109A
"Structura persoanelor de 16-74 ani care au utilizat Internetul in ultimele 3 luni, dupa nivelul de educatie, pe frecventa folosirii acestuia",TIC109B
"Structura persoanelor de 16-74 ani, care au utilizat Internetul in ultimele 3 luni, dupa sexe, pe frecventa folosirii acestuia",TIC109C
"Structura persoanelor de 16-74 ani care au utilizat Internetul in ultimele 3 luni, dupa mediul de rezidenta, pe frecventa folosirii acestuia",TIC109D
"Ponderea persoanelor de 16-74 ani care au folosit Internetul in ultimele 3 luni, dupa statutul ocupational, pe locul accesarii acestuia, in total persoane din fiecare statut ocupational",TIC110A
" Ponderea persoanelor de 16-74 ani care au folosit Internetul in ultimele 3 luni, dupa nivelul de educatie, pe locul accesarii acestuia, in total persoane din fiecare nivel de educatie",TIC110B
"Ponderea persoanelor de 16-74 ani care au folosit Internetul in ultimele 3 luni, dupa sexe, pe locul accesarii acestuia, in total persoane din fiecare sex",TIC110C
"Ponderea persoanelor de 16-74 ani care au folosit Internetul in ultimele 3 luni, dupa mediul de rezidenta, pe locul accesarii acestuia, in total persoane din fiecare mediu de rezidenta",TIC110D
" Ponderea persoanelor de 16-74 ani care au accesat Internetul in ultimele 3 luni, dupa statutul ocupational, pe scopul accesarii  Internetului, in total persoane din fiecare statut ocupational",TIC111A
"Ponderea persoanelor de 16-74 ani care au accesat Internetul in ultimele 3 luni, dupa grupa de varsta, pe scopul accesarii  Internetului, in total persoane din fiecare grupa de varsta",TIC111B
"Ponderea persoanelor de 16-74 ani care au accesat Internetul in ultimele 3 luni, dupa sexe, pe scopul accesarii  Internetului, in total persoane din fiecare sex",TIC111C
"Ponderea persoanelor de 16-74 ani care au accesat Internetul in ultimele 3 luni, dupa mediul de rezidenta, pe scopul accesarii  Internetului, in total persoane din fiecare mediu de rezidenta",TIC111D
"Ponderea persoanelor de 16-74 ani care au cumparat bunuri pe Internet in ultimele 12 luni, dupa statutul ocupational, pe categorii de bunuri  cumparate, in total persoane din fiecare statut ocupational",TIC112A
"Ponderea persoanelor de 16-74 ani care au  cumparat bunuri pe Internet in ultimele 12 luni, dupa nivelul de educatie, pe categorii de bunuri  cumparate, in total persoane din fiecare nivel de educatie",TIC112B
"Ponderea persoanelor de 16-74 ani care au cumparat bunuri pe Internet in ultimele 12 luni, dupa sexe, pe categorii de bunuri cumparate, in total persoane din fiecare sex",TIC112C
"Ponderea persoanelor de 16-74 ani care au  cumparat bunuri pe Internet in ultimele 12 luni, dupa mediul de rezidenta, pe categorii de bunuri  cumparate, in total persoane din fiecare mediu de rezidenta",TIC112D
"Tinta 5 - Economic - Pretul la export raportat la pretul la import, pentru energia electrica, pe total si detaliat pe tari partenere",TID0753
Tinta 6 - Mediu - VALOAREA PRODUCTIEI DE ECHIPAMENTE DE TRANSPORT ELECTRICE SI MAI EFICIENTE DIN PUNCT DE VEDERE AL UTILIZARII RESURSELOR,TIG0761
Tinta 6 - Mediu - Ponderea consumului total de energie finala provenita din surse regenerabile de energie,TIH0762
Tinta 1 - Economic - Venitul national brut pe locuitor,TIL0811
"Tinta 1 - Economic - Valoarea soldului balantei comerciale cu bunuri si servicii a Romaniei, pe zone intra-UE si extra-UE",TIM0812
Tinta 1 - Economic - RATA ANUALA DE CRESTERE A PIB REAL PE CAP DE LOCUITOR,TIN0813
Tinta 2 - Economic - PROCENTUL DIN PIB ALOCAT PENTRU INVESTITII IN IMM-URI,TIP0821
Tinta 2 - Economic - VAB realizata de IMM ca pondere in PIB,TIQ0822
Tinta 3 - Economic - Valoarea exportului si importului de bunuri realizate de companiile mici si mijlocii,TIR0823
Tinta 2 - Social - Rata de ocupare pe total si pe grupe de varsta (15-64 ani),TIS0824
Tinta 2 - Social - Rata de participare la educatia timpurie a copiilor cu varsta cuprinsa intre 3 ani si varsta oficiala de inscriere in invatamantul obligatoriu,TIT0825
Tinta 2 - Social - Rata somajului BIM pe total si sexe,TIU0826
Tinta 2 - Social - Rata saraciei in munca,TIV0827
Tinta 2 - Social - Rata de ocupare a persoanelor cu studii superioare,TIX0829
Tinta 3 - Economic - RATA DE CRESTERE A PRODUCTIVITATII MUNCII PE PERSOANA OCUPATA,TJC0831
Tinta 3 - Economic - Castig salarial nominal mediu net lunar pe activitate de cercetare-dezvoltare in intreprinderi,TJD0832
Tinta 3 - Economic - Valoarea exportului si importului de bunuri realizate de companiile cu capital integral romanesc,TJE0833
Tinta 4 - Economic - PONDEREA TURISMULUI IN PIB,TJH0841
"Tinta 4 - Mediu - Structuri de primire turistica cu functiuni de cazare turistica, pe tipuri de structuri",TJI0842
Tinta 4 - Economic - Populatia ocupata (sau salariatii) din hoteluri si restaurante,TJJ0841
Tinta 5 - Economic - INTERMEDIERE FINANCIARA,TJL0851
Tinta 5 - Economic - Volumul creditarii activitatilor economice de catre institutiile financiare interne,TJM0852
Tinta 5 - Economic - Numarul de sucursale de unitati de credit si numarul de bancomate,TJN0853
Tinta 1 - Mediu - Raportul dintre lungimea drumurilor forestiere si suprafata fondului forestier,TJS0911
"Tinta 1 - Mediu - Numarul de pasageri si marfuri (tone), pe moduri de transport",TJT0912
Tinta 1 - Economic - PONDERE DRUMURI MODERNIZATE IN TOTAL RETEA DRUMURI,TJU0913
Tinta 2 - Social - RATA DECESELOR CAUZATE DE ACCIDENTE DE TRANSPORT LA 100 000 DE LOCUITORI,TJV0921
"Tinta 2 - Social - Numar de accidente rutiere, dupa localizare (autostrazi, in localitati, in afara localitatilor)",TJW0922
"Tinta 2 - Mediu - Structura pe grupe de varsta a vehiculelor rutiere inmatriculate, in total parc",TJX0923
Tinta 3 - Mediu - VALOAREA PRODUCTIEI SI VAB IN TEHNOLOGII DE MEDIU,TKA0931
Tinta 3 - Mediu - Intensitatea GES in industrie,TKB0932
Tinta 3 - Mediu - Ponderea lemnului brut exportat in lemnul exploatat,TKC0933
Tinta 3 - Economic - Valoarea importului de bunuri si a investitiilor straine directe,TKD0934
"Tinta 3 - Mediu - Emisii de gaze cu efect de sera, pe activitati economice",TKE0935
Tinta 3 - Mediu - Cheltuieli pentru protectia mediului ca procent in PIB,TKF0936
"Tinta 4 - Economic - CHELTUIELI TOTALE PENTRU ACTIVITATEA DE CERCETARE-DEZVOLTARE IN SECTORUL PUBLIC SI IN SECTORUL PRIVAT, CA PROCENT IN PIB
",TKI0941
Tinta 4 - Economic - Intreprinderi inovatoare ca pondere in total intreprinderi,TKJ0942
Tinta 5 - Economic - CERCETATORI IN ACTIVITATEA DE CERCETARE-DEZVOLTARE LA UN MILION DE LOCUITORI,TKM0951
"Tinta 5 - Economic - Ponderea fondurilor de schimb si de transfer din fonduri externe, in total cheltuieli de cercetare-dezvoltare",TKN0952
"Tinta 5 - Economic - Cheltuieli totale pentru activitatea de cercetare-dezvoltare in sectorul public, ca pondere in PIB
",TKO0953
Tinta 6 - Economic - VALOAREA ADAUGATA A INDUSTRIEI PRELUCRATOARE CA PONDERE DIN PIB SI PE CAP DE LOCUITOR,TKP0961
Tinta 6 - Mediu - FORTA DE MUNCA DIN INDUSTRIA PRELUCRATOARE CA PROPORTIE DIN FORTA DE MUNCA TOTALA,TKQ0962
Tinta 7 - Economic - VALOAREA SOLDULUI OPERATIUNILOR DE COMERT EXTERIOR REALIZATE DE IMM-URI,TKT0971
Tinta 1 - Economic - VENITUL DISPONIBIL BRUT AJUSTAT AL GOSPODARIILOR POPULATIEI PE LOCUITOR,TKY1011
Tinta 1 - Social - INDICELE INEGALITATII VENITURILOR,TKZ1012
"Tinta 1 - Social - Nivelul ajutorului lunar nerambursabil, acordat de statul roman persoanelor imigrante in vederea reducerii imigratiei ilegale",TLA1013
Tinta 1 - Social - COEFICIENTUL GINI,TLB1014
Tinta 1 - Social - VENITUL TOTAL MEDIU LUNAR PE O GOSPODARIE,TLC1015
"Tinta 1 - Social - Rata riscului de saracie sau excluziune sociala (AROPE-definitie noua), pe sexe, grupe de varsta, regiuni de dezvoltare si macroregiuni",TLD1016
"Tinta 1 - Social - Rata riscului de saracie sau excluziune sociala (AROPE), pe sexe, grupe de varsta, regiuni de dezvoltare si macroregiuni",TLE1017
"Tinta 1 - Social - Rata saraciei relative (AROP), pe sexe, grupe de varsta, regiuni de dezvoltare si macroregiuni",TLF1018
"Tinta 1 - Economic - Venitul disponibil net al gospodariilor populatiei, pe regiuni de dezvoltare",TLI1017
Tinta 2 - Economic - Dependenta de importul de energie,TLL1033
Tinta 3 - Social - Numarul constatarilor de discriminare  si ponderea acestora in totalul petitiilor de discriminare primite anual de CNCD,TLM1034
Tinta 1 - Social - Rata de supraaglomerare,TLR1111
Tinta 1 - Social - RATA DEPRIVARII SEVERE DE LOCUIRE,TLS1112
"Tinta 2 - Mediu - NUMARUL DE PERSOANE DECEDATE SI RANITE ATRIBUITE DEZASTRELOR NATURALE, INREGISTRATE LA INTERVENTIILE INSPECTORATULUI GENERAL PENTRU SITUATII DE URGENTA, LA 100000 DE LOCUITORI",TLV1121
Tinta 3 - Mediu - Procentul transportului cu autobuze si trenuri in totalul transportului de pasageri,TLY1131
"Tinta 3 - Mediu - PASAGERI-KM PARCURSI CU AUTOBUZE SI MICROBUZE, TRAMVAIE, TROLEIBUZE SI METROU",TLZ1132
Tinta 4 - Social - Ponderea populatiei rezidente a municipiului Bucuresti in totalul populatiei rezidente din mediul urban,TMD1141
Tinta 5 - Mediu - NUMARUL DE ACTIVITATI DE INFORMARE PREVENTIVA IN DOMENIUL SITUATIILOR DE URGENTA,TME1151
"Tinta 5 - Mediu - Numarul emisiunilor educative si al spoturilor publicitare sau mesajelor de interes public cu rol de educatie in caz de cutremur, derulate anual de TVR",TMF1152
"Tinta 6 - Mediu - Emisiile de poluanti in aer, pe activitati economice",TMG1161
Tinta 6 - Mediu - Valoarea productiei de bunuri si servicii de mediu pentru protectia aerului inconjurator si a climei,TMH1162
Tinta 6 - Mediu - Intensitatea vatamarii arborelui dupa gradul de defoliere a coroanei,TMI1163
Tinta 6 - Mediu - Suprafata terenurilor pe care s-au executat regenerari pe categorii de regenerari,TMJ1164
Tinta 6 - Mediu - NUMARUL DECESELOR CAUZATE DE AFECTIUNI RESPIRATORII SI CARDIOVASCULARE,TMK1165
Tinta 7 - Mediu - Cantitati de deseuri periculoase generate,TMN1171
"Tinta 7 - Mediu - NIVELURI MEDII ANUALE DE PARTICULE IN SUSPENSIE PM2.5 SI PM10, LA STATIILE DE MONITORIZARE DE TIP FOND URBAN",TMP1173
"Tinta 8 - Social - Cheltuieli de la bugetul de stat si cheltuieli de la bugetul local pentru cultura, recreere si religie",TMS1181
Tinta 9 - Mediu - PONDEREA PARCURSULUI MARFURILOR PERICULOASE (TONE-KM) IN TRANSPORTUL RUTIER SI FEROVIAR IN TOTAL PARCURS MARFURI,TMV1191
"Tinta 1 - Mediu - Consumul intern de materiale, din care biomasa",TMW1211
Tinta 1 - Mediu - Cantitatea de deseuri generata,TNA1211
Tinta 1 - Mediu - Ponderea energiei regenerabile in consumul final brut de energie pe sectoare,TNB1212
Tinta 1 - Mediu - Ponderea namolului valorificat in total namol rezultat in procesul de epurare al apelor uzate,TNC1213
"Tinta 1 - Mediu - Valoarea exportului si importului de bunuri, in functie de intensitatea tehnologica",TND1214
Tinta 1 - Mediu - PRODUCTIVITATEA RESURSELOR MATERIALE,TNE1215
Tinta 1 - Mediu - Dependenta materiala,TNF1216
Tinta 1 - Mediu - Intensitatea materiala,TNG1217
Tinta 1 - Mediu - Exportul si importul de materii prime (tone),TNH1218
Tinta 1 - Mediu - Numarul de angajati in sectorul de bunuri si servicii de mediu,TNI1211
Tinta 1 - Economic - Ponderea VAB in tehnologii de mediu in PIB,TNJ1212
Tinta 2 - Mediu - Numar operatori receptori care au optat pentru diminuarea risipei alimentare,TNK1221
Tinta 1 - Economic - Ponderea valorii exportului/importului catre/din tarile slab dezvoltate in valoarea exportului si importului Romaniei de bunuri si servicii,TNL1222
Tinta 1 - Social - Cheltuielile totale de consum medii pe o gospodarie,TNM1223
Tinta 1 - Mediu - Productivitatea energetica,TNO1211
"Tinta 3 - Mediu - RATA DE RECICLARE A DESEURILOR MUNICIPALE, PE TIPURI DE OPERATIUNI",TNQ1231
Tinta 3 - Mediu - CANTITATEA DE DESEURI GENERATA,TNR1232
Tinta 4 - Mediu - RATA DE RECICLARE A DESEURILOR DIN AMBALAJE PE TIPURI DE MATERIALE IN TOTAL DESEURI DE AMBALAJE GENERATE,TNT1241
Tinta 1 - Mediu - Cantitatea si valoarea exportului si importului de deseuri,TNW1251
"Tinta 5 - Mediu - CANTITATEA DE DESEURI MENAJERE COLECTATE, PE CATEGORII",TNX1252
Tinta 6 - Mediu - Contributia la fondul de mediu a operatorilor economici pentru cantitatea de deseuri din ambalajele nevalorificate,TOB1262
Tinta 8 - Mediu - Suprafata spatiilor verzi pe judete,TOE1271
Tinta 7 - Mediu - NUMAR DE VEHICULE ELECTRICE SI HIBRIDE INMATRICULATE,TOF1272
"Tinta 1 - Mediu - NUMARUL DE PERSOANE DECEDATE SI RANITE ATRIBUITE DEZASTRELOR NATURALE, INREGISTRATE LA INTERVENTIILE INSPECTORATULUI GENERAL PENTRU SITUATII DE URGENTA, LA 100000 DE LOCUITORI",TOM1314
Tinta 1 - Mediu - Pagubele anuale la inundatii,TON1315
Tinta 2 - Mediu - Suprafata protejata cu sisteme antigrindina si de crestere a precipitatiilor,TOR1321
"Tinta 2 - Mediu - Numarul de interventii ale Inspectoratului General  pentru Situatii de Urgenta, cauzate de producerea unor fenomene meteorologice periculoase si/sau asociate",TOS1322
Tinta 2 - Mediu - Ponderea bugetului alocat activitatii Inspectoratului General pentru Situatii de Urgenta in totalul cheltuielilor guvernamentale,TOT1323
Tinta 3 - Mediu - Cantitatea de deseuri menajere generate,TOW1331
Tinta 3 - Mediu - Temperatura medie lunara/anuala la nivelul Romaniei,TOX1332
Tinta 3 - Mediu - POPULATIA ACOPERITA DE SEMNATARII PENTRU PACTUL PRIMARILOR,TOY1333
Tinta 3 - Mediu - Cantitatea lunara/anuala de precipitatii la nivelul Romaniei,TOZ1334
"Tinta 4 - Mediu - Suprafata padurii, din care impadurita anual",TPB1341
Tinta 4 - Mediu - Intensitatea emisiilor de CO2,TPC1342
"Tinta 4 - Mediu - EMISII DE GAZE CU EFECT DE SERA, PE ACTIVITATI ECONOMICE",TPD1343
"Tinta 4 - Mediu - Numarul de persoane decedate si ranite atribuite dezastrelor naturale, inregistrate la interventiile Inspectoratului General pentru Situatii de Urgenta, la 100000 de locuitori",TPE1344
Tinta 4 - Mediu - Valoarea productiei de bunuri si servicii de mediu,TPF1345
Tinta 1 - Mediu - VOLUMUL DE APE UZATE SI CANTITATILE DE POLUANTI PE EVACUATE IN MAREA NEAGRA,TPK1411
Tinta 1 - Mediu - Numarul de situri de coasta cu ape de calitate excelenta pentru scaldat,TPL1412
Tinta 2 - Mediu - VALORILE PH-ULUI APELOR DE LA LITORALUL ROMANESC AL MARII NEGRE,TPN1421
"Tinta 3 - Mediu - Numar de controale efectuate, din care numar de contraventii constatate",TPQ1431
"Tinta 3 - Economic - Valoarea exportului si importului de pesti si crustacee, moluste si alte nevertebrate acvatice, detaliat pe zone intra-UE si extra-UE",TPR1432
Tinta 3 - Mediu - CANTITATEA STOCURILOR DE PESTE DIN PUNCT DE VEDERE BIOLOGIC,TPS1433
Tinta 3 - Mediu - Suprafata siturilor marine desemnate in conditii Natura 2000 si zone umede de importanta internationala,TPT1434
"Tinta 4 - Mediu - Volumul de ape uzate si cantitatile de poluanti evacuate in Marea Neagra, pe tari riverane",TPV1441
Tinta 1 - Mediu - Suprafata terenurilor pe care s-au executat regenerari pe categorii de regenerari,TQB1511
Tinta 1 - Mediu - Suprafata siturilor marine si terestre desemnate in conditiile Natura 2000,TQC1512
Tinta 5 - Mediu - Volumul de masa lemnoasa pe picior,TQD1513
Tinta 1 - Mediu - Resursele de apa asigurate potrivit gradului de amenajare a bazinelor hidrografice,TQE1514
Tinta 1 - Mediu - Calitatea apelor de suprafata (rauri) pe stari de calitate pentru lungimile de rau monitorizate,TQF1515
Tinta 1 - Mediu - ARII NATURALE PROTEJATE ALE ROMANIEI PE CATEGORII (SUPRAFETE),TQG1516
Tinta 1 - Mediu - Ponderea valorii productiei de bunuri si servicii de mediu pentru protectia biodiversitatii si a peisajului in totalul productiei de bunuri si servicii de mediu,TQH1511
Tinta 2 - Mediu - ARII NATURALE PROTEJATE ALE ROMANIEI PE CATEGORII (SUPRAFETE),TQK1522
Tinta 2 - Mediu - Suprafata siturilor marine si terestre desemnate in conditiile Natura 2000,TQL1523
Tinta 2 - Mediu - Calitatea apelor de suprafata (rauri) pe stari de calitate pentru lungimile de rau monitorizate,TQM1524
Tinta 3 - Mediu - Suprafata padurii ca procent in suprafata totala a tarii,TQO1531
Tinta 3 - Mediu - Ponderea valorii productiei de bunuri si servicii de mediu pentru protectia biodiversitatii si a peisajului in totalul productiei de bunuri si servicii de mediu,TQP1532
Tinta 3 - Mediu - Suprafata padurilor virgine si cvasivirgine,TQQ1533
Tinta 3 - Mediu - Suprafata siturilor marine si terestre desemnate in conditiile Natura 2000,TQR1534
Tinta 4 - Mediu - VALOAREA FONDURILOR ALOCATE IN DOMENIUL SILVIC,TQU1541
Tinta 5 - Mediu - SUPRAFATA TERENURILOR DIN FONDUL FORESTIER PARCURSA CU TAIERI (PE TIPURI DE TAIERI),TQX1551
Tinta 5 - Mediu - Suprafata terenurilor pe care s-au executat regenerari pe categorii de regenerari,TQY1552
"Tinta 5 - Mediu - Valoarea exportului si importului de lemn, carbune de lemn si articole din lemn, pe zone intra-UE si extra-UE",TQZ1553
Tinta 6 - Mediu - Suprafata terenurilor din fondul forestier parcursa cu taieri (pe tipuri de taieri),TRC1561
Tinta 6 - Mediu - Rata de reciclare a deseurilor din lemn,TRD1562
Tinta 6 - Mediu - AMPRENTA MATERIALA,TRE1563
Tinta 7 - Mediu - SUPRAFATA TERENURILOR AMENAJATE CU LUCRARI DE IRIGATII SI SUPRAFATA AGRICOLA IRIGATA,TRH1571
"Tinta 7 - Mediu - Suprafata terenurilor amenajate cu lucrari de ameliorare si combaterea eroziunii solului, pe categorii de folosinta a terenurilor",TRI1572
Tinta 7 - Mediu - Suprafata cu paduri de protectie a solului,TRJ1573
"Inmatriculari noi de vehicule rutiere pentru transportul pasagerilor, pe macroregiuni, regiuni de dezvoltare si judete",TRN102A
"Inmatriculari noi de vehicule rutiere pentru transportul marfurilor, pe macroregiuni, regiuni de dezvoltare si judete",TRN102B
"Vehicule rutiere inmatriculate in circulatie la sfarsitul anului, pe categorii de vehicule, tipuri de proprietate, macroregiuni, regiuni de dezvoltare si judete",TRN103B
"Vehicule rutiere inmatriculate in circulatie la sfarsitul anului, pe grupe de varsta",TRN103C
"Vehicule rutiere inmatriculate in circulatie la sfarsitul anului, pe tipuri de combustibil",TRN103D
"Vehicule rutiere inmatriculate in circulatie la sfarsitul anului, pe norme europene de poluare",TRN103E
"Accidente de circulatie rutiera  cauzatoare de vatamari corporale, dupa natura si modul in care s-au produs accidentele",TRN104A
"Accidente de circulatie rutiera cauzatoare de vatamari corporale, dupa momentul producerii lor",TRN104B
"Accidente de circulatie rutiera cauzatoare de vatamari corporale, dupa starea carosabilului",TRN104C
"Accidente de circulatie rutiera cauzatoare de vatamari corporale, dupa conditiile de producere ale acestora",TRN104D
"Accidente de circulatie rutiera cauzatoare de vatamari corporale, dupa locul de producere a acestora",TRN104E
"Accidente de circulatie rutiera cauzatoare de vatamari corporale, pe macroregiuni, regiuni de dezvoltare si judete",TRN104F
"Persoane accidentate in accidente de circulatie rutiera cauzatoare de vatamari corporale, dupa varsta si gradul de gravitate al accidentatilor",TRN105A
"Persoane accidentate in accidente de circulatie rutiera cauzatoare de vatamari corporale, pe macroregiuni, regiuni de dezvoltare si judete",TRN105B
"Locomotive, la sfarsitul anului, pe tipuri de locomotive",TRN106A
"Vagoane, la sfarsitul anului, pe tipuri de vagoane",TRN112A
"Capacitatea vagoanelor, la sfarsitul anului, pe tipuri de vagoane",TRN113A
"Nave de navigatie interioara, pe categorii de nave, inregistrate la sfarsitul anului",TRN120A
"Capacitatea navelor de navigatie interioara pentru transportul marfurilor, pe categorii de nave la sfarsitul anului",TRN121A
"Nave maritime inregistrate la sfarsitul anului, pe categorii de nave",TRN125A
"Capacitatea navelor maritime pentru transportul marfurilor si pasagerilor, pe categorii de nave inregistrate la sfarsitul anului",TRN126A
"Transport portuar de marfuri, pe categorii de operatii portuare, moduri de transport si grupe de marfuri NST/R",TRN130A
"Transport portuar de marfuri, pe categorii de operatii portuare, moduri de transport si tipuri de marfuri NST 2007",TRN130B
"Aeronave inmatriculate (cu certificat de navigabilitate), pe categorii de aeronave",TRN132A
Transportul aeroportuar,TRN133A
"Pasageri transportati in transportul interurban si international de pasageri, pe moduri de transport",TRN135A
"Parcursul pasagerilor in transportul interurban si international de pasageri, pe moduri de transport",TRN136A
"Marfuri transportate, pe moduri de transport",TRN137A
"Marfuri transportate, pe grupe de marfuri NST/R si moduri de transport",TRN137B
"Marfuri transportate, pe tipuri de marfuri NST 2007 si moduri de transport",TRN137C
"Marfuri transportate, pe destinatii si tipuri de transport rutier",TRN137D
"Marfuri transportate, pe tipuri de autovehicule, capacitati de transport si tipuri de transport rutier",TRN137E
"Marfuri transportate, pe categorii de marfuri periculoase si tipuri de transport rutier",TRN137F
"Parcursul marfurilor, pe moduri de transport",TRN138A
"Parcursul marfurilor, pe destinatii si tipuri de transport rutier",TRN138B
"Parcursul marfurilor, pe tipuri de autovehicule, capacitati de transport si tipuri de transport rutier",TRN138C
"Parcursul marfurilor, pe categorii de marfuri periculoase si tipuri de transport rutier",TRN138D
"Lungimea drumurilor publice, pe categorii de drumuri, tipuri de acoperamant, macroregiuni, regiuni de dezvoltare si judete",TRN139A
"Parcursul vehiculelor, pe destinatii si tipuri de transport rutier",TRN140A
"Lungimea cailor ferate in exploatare, pe categorii de linii de cale ferata",TRN142A
"Lungimea cailor ferate in exploatare, pe categorii de linii de cale ferata, macroregiuni, regiuni de dezvoltare si judete",TRN143A
Lungimea cailor navigabile interioare,TRN144A
"Lungimea cailor navigabile interioare, pe macroregiuni, regiuni de dezvoltare si judete",TRN144B
"Lungimea  conductelor magistrale petroliere, dupa felul conductelor",TRN145A
Tinta 1 - Social - Numarul de procese castigate contra statului Roman in fata Curtii Europene a Drepturilor Omului,TRO1611
"Tinta 2 - Social - MANUALE SCOLARE SI CURSURI UNIVERSITARE TIPARITE, DUPA LIMBA DE PREDARE",TRR1621
Tinta 2 - Social - Numarul constatarilor de discriminare pe criterii etnice si ponderea acestora in totalul petitiilor de discriminare pe criterii etnice primite anual de CNCD,TRS1622
Tinta 3 - Social - RATA MORTALITATII PRIN AGRESIUNE (VIOLENTA) LA 100000 LOCUITORI,TRV1631
"Tinta 3 - Social - Numarul de cazuri de violenta domestica sesizate politiei pe macroregiuni, regiuni de dezvoltare si judete",TRW1632
"Tinta 3 - Social - Numarul victimelor infractiunilor de violenta domestica la 100000 locuitori, pe macroregiuni, regiuni de dezvoltare si judete",TRX1633
"Tinta 3 - Social - Numarul cazurilor de violenta domestica, soldate cu decesul victimei, pe macroregiuni si regiuni de dezvoltare",TRY1634
"Tinta 4 - Social - Numarul victimelor traficului de persoane la 100000 locuitori, pe sexe, grupe de varsta si dupa scopul traficarii",TSB1641
"Tinta 4 - Social - NUMARUL VICTIMELOR CU VARSTA SUB 18 ANI SUPUSE TRAFICULUI DE PERSOANE, DUPA SCOPUL TRAFICARII",TSC1642
"Tinta 4 - Social - Numarul victimelor cu varsta sub 18 ani supuse traficului de persoane la 100000 de locuitori, dupa scopul traficarii",TSD1643
"Tinta 4 - Social - Numarul victimelor violentei domestice pe sexe, macroregiuni, regiuni de dezvoltare si medii de rezidenta, astfel cum este inregistrat de catre serviciile administrative",TSE1644
"Tinta 4 - Social - Numarul victimelor violentei domestice in functie de categoria de varsta (minori si adulti), pe sexe, astfel cum este inregistrat de catre serviciile administrative",TSF1645
"Tinta 4 - Social - Victimele violentei domestice, dupa tipul de violenta, astfel cum este inregistrat de catre serviciile administrative",TSG1646
Tinta 4 - Social - Numarul victimelor violentei domestice dupa tipul serviciilor sociale acordate victimelor astfel cum este inregistrat de catre serviciile administrative,TSH1647
